Book_title,Book_Author,Book_Tag,Challenged
Redwall,Brian Jacques,"Fantasy, Fiction, Young Adult, Childrens, Animals, Middle Grade, Adventure",0
Sabriel,Garth Nix,"Fantasy, Young Adult, Fiction, Magic, High Fantasy, Young Adult Fantasy, Adventure",0
Blubber,Judy Blume,"Fiction, Young Adult, Childrens, Middle Grade, Realistic Fiction, Banned Books, Classics",0
The Secret Life of Bees,Sue Monk Kidd,"Fiction, Historical Fiction, Classics, Young Adult, Historical, Contemporary, Adult Fiction",0
Peeps,Scott Westerfeld,"Young Adult, Vampires, Fantasy, Science Fiction, Paranormal, Fiction, Horror",0
Charlotte's Web,E.B. White,"Classics, Fiction, Childrens, Fantasy, Young Adult, Middle Grade, Animals",0
The Book of Three,Lloyd Alexander,"Fantasy, Young Adult, Fiction, Childrens, Middle Grade, Classics, Adventure",0
Blackbringer,Laini Taylor,"Fantasy, Young Adult, Fiction, Magic, Fairies, Adventure, Fae",0
The Warrior Heir,Cinda Williams Chima,"Fantasy, Young Adult, Magic, Fiction, Young Adult Fantasy, Urban Fantasy, Adventure",0
Providence,Jamie McGuire,"Paranormal, Romance, Fantasy, Young Adult, Angels, New Adult, Paranormal Romance",0
I Am Number Four,Pittacus Lore,"Young Adult, Fantasy, Science Fiction, Fiction, Aliens, Romance, Paranormal",0
Don't Judge a Girl by Her Cover,Ally Carter,"Young Adult, Mystery, Romance, Contemporary, Fiction, Espionage, Adventure",0
Shadows,Jennifer L. Armentrout,"Young Adult, Paranormal, Romance, Aliens, Fantasy, Science Fiction, Paranormal Romance",0
Only the Good Spy Young,Ally Carter,"Young Adult, Mystery, Romance, Contemporary, Espionage, Fiction, Adventure",0
Cross My Heart and Hope to Spy,Ally Carter,"Young Adult, Mystery, Romance, Contemporary, Fiction, Espionage, Adventure",0
Forever,Maggie Stiefvater,"Young Adult, Fantasy, Romance, Paranormal, Werewolves, Fiction, Paranormal Romance",0
Flat-Out Love,Jessica Park,"Romance, Young Adult, New Adult, Contemporary, Chick Lit, Contemporary Romance, Fiction",0
The Scorpio Races,Maggie Stiefvater,"Fantasy, Young Adult, Fiction, Mythology, Audiobook, Young Adult",0
