Author,Book,Series Name (If Title is Part of a Series),Secondary Author(s),Illustrators,Translators,Type of Challenge,Challenge Initiated By,Initial Response,Challenge Notes,Decision,Are Restrictions Applied,Restriction Details,Library Type,Month,Year,State,School District,City,County,School Name,Library Name,Police Involved,Current Book Status,Date of Data Input,Article Links/Evidence Links,Article Links/Evidence Links,Article Links/Evidence Links,Article Links/Evidence Links,,,,,,,,,,,,,,,,,,,
"lockhart, e",Real Live Boyfriends,,,,,,,Challenged - During Board Meeting,,,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"lockhart, e",Real Live Boyfriends,,,,,,,Challenged - Location Unknown,,,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McCafferty, Megan",Sloppy Firsts,,,,,,,Challenged - Location Unknown,,,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,,,"Forney, Ellen",,,,Challenged - During Board Meeting,"Greeley-Evans School District 6 Board of Education Meeting Stopped Twice, Adjourns early due to disruptions during public comment",,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,,,"Forney, Ellen",,,,Challenged - Location Unknown,"Greeley-Evans School District 6 Board of Education Meeting Stopped Twice, Adjourns early due to disruptions during public comment",,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roy, Arundhati",The God of Small Things,,,,,,,Challenged - Location Unknown,,,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas, Angie",The Hate U Give,,,,,,,Challenged - During Board Meeting,,,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hosseini, Khaled",The Kite Runner,,,,,,,Challenged - During Board Meeting,,,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hosseini, Khaled",The Kite Runner,,,,,,,Challenged - Location Unknown,,,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asher, Jay",Thirteen Reasons Why,,,,,,,Challenged - During Board Meeting,,,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tamaki, Mariko",This One Summer,,"Tamaki, Jillian","Tamaki, Jillian",,,,Challenged - During Board Meeting,,,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levithan, David",Two Boys Kissing,,,,,,,Challenged - During Board Meeting,,,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coates, Ta-Nehisi",Between the World and Me,,,,,,,Challenged - Location Unknown,,Removed - Curriculum,,,School ,January,2023,Colorado,Woodland Park School District,,,,,,,,https://gazette.com/pikespeakcourier/woodland-park-school-district-re-2-pulls-course-material-after-critical-race-theory-complaint/article_a5aadc5c-a195-11ed-bbfc-17926d9f7a45.html,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,,,,Informal Challenge,,,,Unknown,,,Public,August,2022,Colorado,,,Wellington,,Wellington Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",A Court of Thorns and Roses,A Court of Thorns and Roses,,,,Informal Challenge,,,,Unknown,,,Public,August,2022,Colorado,,,Wellington,,Wellington Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,,,Challenged - Location Unknown,"Wanted to move to adult section of library and not ""prominently display the books""",Unknown,,,Public,November,2022,Colorado,,,Gunnison County,,Gunnison County Library District,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morrison, Toni",Beloved,,,,,Informal Challenge,,,,Unknown,,,Public,August,2022,Colorado,,,Wellington,,Wellington Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Telgemeir, Raina",Drama,,,,,Informal Challenge,,,,Unknown,,,Public,August,2022,Colorado,,,Wellington,,Wellington Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dungeon and Dragons Game Night,,,,,,,Challenged - Location Unknown,,Unknown,,,Public,December,2022,Colorado,,,Gunnison County,,Gunnison County Library District,,,,,,,,,,,,,,,,,,,,,,,,,,
"Foer, Jonathan",Extremely Loud and INcredibly Close,,,,,Informal Challenge,,,,Unknown,,,Public,August,2022,Colorado,,,Wellington,,Wellington Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Groff, Lauren",Fates and Furies,,,,,,,,,Unknown,,,Public,August,2022,Colorado,,,Wellington,,Wellington Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"James, EL",Fifty Shades of Grey,,,,,Informal Challenge,,,,Unknown,,,Public,August,2022,Colorado,,,Wellington,,Wellington Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kobabe, Mai",Gender Queer,,,,,,,Challenged - Location Unknown,"Wanted to move to adult section of library and not ""prominently display the books""",Unknown,,,Public,Spring,2022,Colorado,,,Gunnison County,,Gunnison County Library District,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nabokov, Vladimir",Lolita,,,,,Informal Challenge,,,,Unknown,,,Public,August,2022,Colorado,,,Wellington,,Wellington Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green, John",Looking for Alaska,,,,,Informal Challenge,,,,Unknown,,,Public,August,2022,Colorado,,,Wellington,,Wellington Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gabaldon, Diana",Outlander,,,,,Informal Challenge,,,,Unknown,,,Public,August,2022,Colorado,,,Wellington,,Wellington Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gottlieb, Iris",Seeing Gender: An Illustrated Guide to Identity and Expression,,,,,,,Challenged - Location Unknown,"Wanted to move to adult section of library and not ""prominently display the books""",Unknown,,,Public,November,2022,Colorado,,,Gunnison County,,Gunnison County Library District,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson, Laurie Halse",Shout,,,,,Informal Challenge,,,,Unknown,,,Public,August,2022,Colorado,,,Wellington,,Wellington Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson, Laurie Halse",Speak,,,,,Informal Challenge,,,,Unknown,,,Public,August,2022,Colorado,,,Wellington,,Wellington Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morrison, Toni",The Bluest Eye,,,,,Informal Challenge,,,,Unknown,,,Public,August,2022,Colorado,,,Wellington,,Wellington Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Walls, Jeannette Walls",The Glass Castle,,,,,Informal Challenge,,,,Unknown,,,Public,August,2022,Colorado,,,Wellington,,Wellington Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roy, Aruindhati",The God of Small Things,,,,,Informal Challenge,,,,Unknown,,,Public,August,2022,Colorado,,,Wellington,,Wellington Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chbosky, Stephen",The Perks of Being a Wallflower,,,,,Informal Challenge,,,,Unknown,,,Public,August,2022,Colorado,,,Wellington,,Wellington Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atwood, Margaret",The Testaments,,,,,Informal Challenge,,,,Unknown,,,Public,August,2022,Colorado,,,Wellington,,Wellington Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dawson, Juno",This Book is Gay,,,,,,,Challenged - Location Unknown,"Wanted to move to adult section of library and not ""prominently display the books""",Unknown,,,Public,November,2022,Colorado,,,Gunnison County,,Gunnison County Library District,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tamaki, Mariko",This One Summer,,"Tamaki, Jillian","Tamaki, Jillian",,Informal Challenge,,,,Unknown,,,Public,August,2022,Colorado,,,Wellington,,Wellington Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dawson, Juno",This Book Is Gay,,,,,Informal Challenge,Community Member,Challenged - Not in District/School or library institution,Book was topic of public comment during board meeting. THIS BOOK IS GAY is available in the district as an ebook through Follett.,N/A,,,School ,April,2022,Connecticut,Brookfield Public Schools,,,Brookfield High School,,,,4/15/23,https://www.newstimes.com/news/article/brookfield-school-book-ban-lgbtq-17884768.php?_ga=2.35971232.1208409961.1681586825-2067413698.1681586825,,,,,,,,,,,,,,,,,,,,,,
"Thompson, Craig",Blankets,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,"From a letter to the editor about the controversy referencing the school board meeting,",Unknown,,,School ,April ,2023,Connecticut,Sandy Hook,,,,,,On Shelves,4/26/23,https://www.newtownbee.com/04202023/clarifying-pornography-and-book-banning/,,,,,,,,,,,,,,,,,,,,,,
"Curato, Mike",Flamer,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,"From a letter to the editor about the controversy referencing the school board meeting,",Unknown,,,School ,April ,2023,Connecticut,Sandy Hook,,,,,,On Shelves,4/26/23,https://www.newtownbee.com/04202023/clarifying-pornography-and-book-banning/,,,,,,,,,,,,,,,,,,,,,,
"Curato, Mike",Flamer,,,,,Formal Challenge,Parent,Challenged - On Shelves,Addressed multiple times at BOE meetings since Sept. where people call books pornographic. This book is Gay and Gender Queer were part of a banned book display. And Flamer was part of the 2023 Nutmeg Award.  Retained by APRIL 2023 with multiple appeals to the district.,Retained,,,School ,October,2022,Connecticut,Westport Public Schools,,,Staples High School,,,,4/15/23,https://12ft.io/proxy?q=https%3A%2F%2Fwww.ctinsider.com%2Fwestport%2Farticle%2Fwestport-banned-books-removal-17871323.php,https://12ft.io/proxy?q=https%3A%2F%2Fwww.ctinsider.com%2Fwestport%2Farticle%2Fcommittee-upholds-banned-books-staples-westport-17876719.php,,,,,,,,,,,,,,,,,,,,,
"Kobabe, Maia",Gender Queer,,,,,Formal Challenge,Parent,Challenged - On Shelves,Addressed multiple times at BOE meetings since Sept. where people call books pornographic. This book is Gay and Gender Queer were part of a banned book display. And Flamer was part of the 2023 Nutmeg Award.  Retained by APRIL 2023 with multiple appeals to the district.,Retained,,,School ,October,2022,Connecticut,Westport Public Schools,,,Staples High School,,,,4/15/23,https://12ft.io/proxy?q=https%3A%2F%2Fwww.ctinsider.com%2Fwestport%2Farticle%2Fwestport-banned-books-removal-17871323.php,https://12ft.io/proxy?q=https%3A%2F%2Fwww.ctinsider.com%2Fwestport%2Farticle%2Fcommittee-upholds-banned-books-staples-westport-17876719.php,,,,,,,,,,,,,,,,,,,,,
"Dawson, Juno",This Book Is Gay,,,,,Formal Challenge,Parent,Challenged - On Shelves,Addressed multiple times at BOE meetings since Sept. where people call books pornographic. This book is Gay and Gender Queer were part of a banned book display. And Flamer was part of the 2023 Nutmeg Award.  Retained by APRIL 2023 with multiple appeals to the district.,Retained,,,School ,October,2022,Connecticut,Westport Public Schools,,,Staples High School,,,,4/15/23,https://12ft.io/proxy?q=https%3A%2F%2Fwww.ctinsider.com%2Fwestport%2Farticle%2Fwestport-banned-books-removal-17871323.php,https://12ft.io/proxy?q=https%3A%2F%2Fwww.ctinsider.com%2Fwestport%2Farticle%2Fcommittee-upholds-banned-books-staples-westport-17876719.php,,,,,,,,,,,,,,,,,,,,,
"Kobabe, Maia",Gender Queer,,,,,Informal Challenge,,,unclear - informal complaints so far,Unknown,,,Public,August,2022,Connecticut,,,Greenwich,,Greenwich Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moen, Erika",Let's Talk About It: The Teen's Guide to Sex and Relationships and Being a human,,"Nolan, Matthew",,,Formal Challenge,Community Member,Challenged - On Shelves,"Residents thought access needed to be restricted and removed or put in adult section,. Library recommended it continue to be shelved in adult section.",Retained,,,Public,October,2022,Connecticut,,,,,Fairfield Library,,On shelves,4/15/23,https://12ft.io/proxy?q=https%3A%2F%2Fwww.ctinsider.com%2Ffairfield%2Farticle%2FFairfield-Library-will-not-remove-book-17504309.php,,,,,,,,,,,,,,,,,,,,,,
"Moen, Erika and Matthew Nolan","Let's Talk About it: The Teens Guide to Sex, Relationships, and Being a Human",,,,,Formal Challenge,,,,Retained,,,Public,October,2022,Connecticut,,,,,Fairfield Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Locke, Katherine",What Are Your Words,,,,,Informal Challenge,Administration,N/A - See Notes,"A first selectman saw the book on the shelf on display and removed it contrary to library policy. The book has remained on the shelf, but a government official removing it from display is censorship. The library redid policies to have a procedure for display objections. Katherine Locke spoke to a meeting with the Anti-Bias, Anti Racist or ABAR local group about the book and the controversy.",N/A,,,Public,April,2023,Connecticut,,,,,Kent Memorial Library,,On shelves,4/16/23,https://www.courant.com/2023/04/10/ct-library-adopts-new-policy-after-town-leaders-decision-to-pull-transgender-themed-book-from-display/,,,,,,,,,,,,,,,,,,,,,,
"Medina, Nico",Who is RuPaul?,,,,,,,Challenged - Removed While Under Review,Pulled from shelves and pride display. Also wanted to review the entire collection.,Unknown,,,Public,June,2022,Connecticut,,,Cragin Memorial Library,,Colchester Public Library,,,,,,,,,,,,,,,,,,,,,,,,,,
"Love, Jessica",Julian is a Mermaid,,,,,,,,,Retained,,,School ,October,2022,Conneticut,Darien Public Schools,,,,,,,,,https://patch.com/connecticut/darien/darien-school-board-looks-craft-policy-challenging-materials,,,,,,,,,,,,,,,,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,,,Challenged - On Shelves,The minister added them to the school library but those copies are not going on the shelves yet.,,,,School ,November,2022,Conneticut,Enfield Public Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tannehill, Brynn",Everything You Ever Wanted to Know About Being Trans,,,,,,,Challenged - On Shelves,,,,,School ,November,2022,Conneticut,Enfield Public Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kobabe, Maia",Gender Queer: A Memoir,,,,,,,Challenged - On Shelves,,,,,School ,November,2022,Conneticut,Enfield Public Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Evison, Jonathan",Lawn Boy,,,,,,,Challenged - On Shelves,,,,,School ,November,2022,Conneticut,Enfield Public Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green, Laci","Sex Plus: Learning, Loving, and Enjoying Your Body",,,,,,,Challenged - On Shelves,,,,,School ,November,2022,Conneticut,Enfield Public Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keyser, Amber",The V-Word,,,,,,,Challenged - On Shelves,,,,,School ,November,2022,Conneticut,Enfield Public Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dawson, Juno",This Book is Gay,,,,,,,Challenged - On Shelves,,,,,School ,November,2022,Conneticut,Enfield Public Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,,,,,,,,,,,School ,October,2022,Florida,Brevard Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,,,,,,Challenged - Removed While Under Review,,,,,School ,November,2022,Florida,Brevard Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",Crank,,,,,,,,,,,,School ,October,2022,Florida,Brevard Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",Crank,,,,,,,Challenged - Removed While Under Review,,,,,School ,November,2022,Florida,Brevard Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",Empire of Storms,Throne of Glass Series,,,,,,,,,,,School ,October,2022,Florida,Brevard Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",Empire of Storms,Throne of Glass Series,,,,,,Challenged - Removed While Under Review,,,,,School ,November,2022,Florida,Brevard Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",House of Earth and Blood,,,,,,,Challenged - Removed While Under Review,,,,,School ,October,2022,Florida,Brevard Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",House of Earth and Blood,,,,,,,,,Retained Restricted,Yes,"Over 18 can check it out, everyone else - parental permission",School ,November,2022,Florida,Brevard Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopper, Laura",I Never: A Novel,,,,,,,,,,,,School ,October,2022,Florida,Brevard Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopper, Laura",I Never: A Novel,,,,,,,Challenged - Removed While Under Review,,,,,School ,November,2022,Florida,Brevard Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, Tiffany D",Monday's Not Coming,,,,,,,Challenged - Removed While Under Review,,,,,School ,November,2022,Florida,Brevard Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, Tiffany D.",Monday's Not Coming,,,,,,,,,,,,School ,October,2022,Florida,Brevard Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McCormick, Patricia",Sold,,,,,,,,,,,,School ,October,2022,Florida,Brevard Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McCormick, Patricia",Sold,,,,,,,Challenged - Removed While Under Review,,,,,School ,November,2022,Florida,Brevard Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",Tilt,,,,,,,,,,,,School ,October,2022,Florida,Brevard Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",Tilt,,,,,,,Challenged - Removed While Under Review,,,,,School ,November,2022,Florida,Brevard Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",Tricks,Tricks Series,,,,,,Challenged - Removed While Under Review,,,,,School ,November,2022,Florida,Brevard Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gruen, Sara",Water for Elephants,,,,,,,,,,,,School ,October,2022,Florida,Brevard Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gruen, Sara",Water for Elephants,,,,,,,Challenged - Removed While Under Review,,,,,School ,November,2022,Florida,Brevard Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arnold, Elana K.",What Girls Are Made Of,,,,,,,,,,,,School ,October,2022,Florida,Brevard Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arnold, Elana K.",What Girls Are Made Of,,,,,,,Challenged - Removed While Under Review,,,,,School ,November,2022,Florida,Brevard Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Twiss, Jill",A Day in the Life of Marlon Bundo,,,"Keller, E.G.",,,,,,Banned,,,School ,October,2022,Florida,Broward County Public Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lukoff, Kyle",Different Kinds of Fruit,,,,,,,,,Retained Restricted,Yes,Moved to Grade 8 and above,School ,October,2022,Florida,Broward County Public Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thorn, Theresa",It Feels Good To Be Yourself: A Book About Gender Identity,,,"Grigni, Noah",,,,,,Retained Restricted,Yes,Moved to Grade 5 and above,School ,October,2022,Florida,Broward County Public Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harris, Robie H.","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",,,"Emberley, Michael",,,,,,Banned,,,School ,October,2022,Florida,Broward County Public Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Duncan, Lois",Killing Mr. Griffin,,,,,,,,,Retained Restricted,Yes,Restricted to HS only,School ,October,2022,Florida,Broward County Public Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
