Book_Author,Book_Title,Book_Tag,Challenge
Angela Joy,Black is a Rainbow Color,"Picture Books, Poetry, African American, Childrens, History, Social Justice, Storytime",1
Angela Valenzuela,Subtractive Schooling: U.S.-Mexican Youth and the Politics of Changing,"Education, Nonfiction, Teaching, Race, Sociology, Social Justice, Grad School",1
Angelo Surmelis,The Dangerous Art of Blending In,"Young Adult, LGBT, Contemporary, Romance, Queer, Fiction, Mental Health",1
Angie Thomas,Concrete Rose,"Young Adult, Contemporary, Fiction, Audiobook, Realistic Fiction, Historical Fiction, Race",1
Angie Thomas,On the Come Up,"Young Adult, Contemporary, Fiction, Audiobook, Realistic Fiction, Music, Young Adult, Contemporary",1
Angie Thomas,The Hate U Give,"Young Adult, Fiction, Contemporary, Audiobook, Realistic Fiction, Race, Social Justice",1
Ann Bausum,Stonewall: Breaking Out in the Fight for Gay Rights,"Nonfiction, History, LGBT, Audiobook, Queer, Historical, Politics",1
Ann Braden,Flight of the Puffin,"Middle Grade, Realistic Fiction, LGBT, Fiction, Young Adult, Family, School",1
Ann Braden,The Benefits of Being an Octopus,"Middle Grade, Realistic Fiction, Fiction, Young Adult, Audiobook, Poverty, Contemporary",1
Ann Herbert Scott,On Mother's Lap,"Picture Books, Family, Childrens, Fiction, Cultural, Storytime, Realistic Fiction",1
Ann M. Martin,Boy Crazy Stacey,"Fiction, Young Adult, Childrens, Middle Grade, Juvenile, Contemporary, Realistic Fiction",1
Ann Tompert,Grandfather Tang's Story: A Tale Told with Tangrams,"Mathematics, Picture Books, Childrens, China, Animals, Asia, Geometry",1
Anna Birch,I Kissed Alice,"Romance, LGBT, Contemporary, Young Adult, Lesbian, Queer, Fiction",1
Anna Fiske,How Do You Make a Baby?,"Nonfiction, Childrens, Humor, Family, Picture Books",1
Anna McQuinn,Lola Reads to Zaki,"Picture Books, Childrens, Family, Storytime, Fiction, Books About Banned Books, African American",1
Anna Todd,After We Collided,"Romance, New Adult, Young Adult, Contemporary, College, Fiction, Contemporary Romance",1
